Date,Open,High,Low,Close,Adj Close,Volume
2017-06-21,8.000000,8.000000,8.000000,8.000000,8.000000,100
2017-06-22,8.000000,8.000000,8.000000,8.000000,8.000000,200
2017-06-23,8.000000,8.000000,8.000000,8.000000,8.000000,0
2017-06-26,8.000000,8.000000,8.000000,8.000000,8.000000,0
2017-06-27,8.000000,8.000000,8.000000,8.000000,8.000000,200
2017-06-28,7.050000,7.050000,7.050000,7.050000,7.050000,100
2017-06-29,7.000000,7.000000,7.000000,7.000000,7.000000,3100
2017-06-30,7.000000,7.000000,7.000000,7.000000,7.000000,0
2017-07-03,7.000000,7.000000,7.000000,7.000000,7.000000,100
2017-07-05,7.000000,7.000000,7.000000,7.000000,7.000000,0
2017-07-06,7.000000,7.000000,7.000000,7.000000,7.000000,0
2017-07-07,7.000000,7.000000,7.000000,7.000000,7.000000,0
2017-07-10,6.750000,6.750000,6.750000,6.750000,6.750000,100
2017-07-11,6.720000,6.720000,6.720000,6.720000,6.720000,200
2017-07-12,6.750000,6.750000,6.650000,6.650000,6.650000,200
2017-07-13,6.650000,6.650000,6.650000,6.650000,6.650000,0
2017-07-14,6.650000,6.650000,6.650000,6.650000,6.650000,0
2017-07-17,6.250000,6.250000,6.250000,6.250000,6.250000,400
2017-07-18,5.000000,6.000000,3.000000,3.000000,3.000000,1200
2017-07-19,3.000000,3.000000,3.000000,3.000000,3.000000,0
2017-07-20,4.000000,4.750000,4.000000,4.650000,4.650000,5000
2017-07-21,4.750000,4.750000,4.480000,4.480000,4.480000,1400
2017-07-24,4.000000,4.000000,4.000000,4.000000,4.000000,200
2017-07-25,3.950000,3.950000,3.950000,3.950000,3.950000,100
2017-07-26,3.800000,3.950000,3.010000,3.010000,3.010000,1200
2017-07-27,3.500000,3.500000,3.010000,3.010000,3.010000,1500
2017-07-28,3.150000,3.150000,2.950000,3.000000,3.000000,1200
2017-07-31,1.980000,2.980000,1.980000,2.980000,2.980000,400
2017-08-01,2.980000,2.980000,2.980000,2.980000,2.980000,0
2017-08-02,2.980000,3.440000,2.980000,3.440000,3.440000,1100
2017-08-03,3.230000,3.250000,3.230000,3.250000,3.250000,500
2017-08-04,3.250000,3.250000,3.250000,3.250000,3.250000,0
2017-08-07,3.250000,3.250000,3.250000,3.250000,3.250000,0
2017-08-08,3.250000,3.250000,3.250000,3.250000,3.250000,0
2017-08-09,2.250000,3.000000,2.250000,2.500000,2.500000,900
2017-08-10,2.500000,2.500000,2.500000,2.500000,2.500000,3700
2017-08-11,2.500000,2.500000,2.500000,2.500000,2.500000,500
2017-08-14,2.400000,2.400000,2.400000,2.400000,2.400000,600
2017-08-15,2.500000,2.500000,2.500000,2.500000,2.500000,100
2017-08-16,2.500000,2.500000,2.500000,2.500000,2.500000,0
2017-08-17,2.500000,2.500000,2.500000,2.500000,2.500000,0
2017-08-18,2.590000,2.590000,2.590000,2.590000,2.590000,100
2017-08-21,2.590000,2.590000,2.590000,2.590000,2.590000,0
2017-08-22,2.590000,2.590000,2.590000,2.590000,2.590000,0
2017-08-23,2.600000,2.600000,2.500000,2.500000,2.500000,600
2017-08-24,2.500000,2.500000,2.500000,2.500000,2.500000,1200
2017-08-25,2.550000,2.550000,2.550000,2.550000,2.550000,600
2017-08-28,2.480000,2.480000,2.480000,2.480000,2.480000,200
2017-08-29,2.430000,2.430000,2.430000,2.430000,2.430000,200
2017-08-30,2.430000,2.430000,2.430000,2.430000,2.430000,0
2017-08-31,2.430000,2.430000,2.430000,2.430000,2.430000,100
